position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
final,57,sort,The word is 'sort',0,45,45,56,space,2.05220508575,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,41,writ,The word is 'writ',0,46,46,40,space,1.0699930191,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,3,chat,Say 'chat' again,0,47,47,2,space,1.20283198357,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,32,cork,Say 'cork' again,0,48,48,31,space,1.03668498993,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,64,cork,The word is 'cork',0,49,49,63,space,1.4845559597,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,1,cat,Say 'cat' again,0,50,50,0,space,1.2195250988,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,48,wick,The word is 'wick',0,51,51,47,space,2.38740706444,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,22,duck,Say 'duck' again,0,52,52,21,space,1.06991791725,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,39,Mac,The word is 'Mac',0,53,53,38,space,1.01917695999,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,31,pork,Say 'pork' again,0,54,54,30,space,1.00180697441,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,15,chick,Say 'chick' again,0,55,55,14,space,1.12054800987,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,53,luck,The word is 'luck',0,56,56,52,space,1.31979608536,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,30,walk,Say 'walk' again,0,57,57,29,space,1.10333800316,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,63,pork,The word is 'pork',0,58,58,62,space,1.35344099998,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,9,writ,Say 'writ' again,0,59,59,8,space,1.13543105125,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,59,port,The word is 'port',0,60,60,58,space,1.55354690552,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,16,wick,Say 'wick' again,0,61,61,15,space,1.08548307419,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,17,cut,Say 'cut' again,0,62,62,16,space,0.95218706131,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,13,kick,Say 'kick' again,0,63,63,12,space,1.13644981384,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,1,cat,Say 'cat' again,1,0,64,0,space,1.28590798378,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,34,fat,The word is 'fat',1,1,65,33,space,1.41919112206,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,51,nut,The word is 'nut',1,2,66,50,space,1.286714077,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,24,tuck,Say 'tuck' again,1,3,67,23,space,1.05269217491,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,43,kit,The word is 'kit',1,4,68,42,space,1.16846299171,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,4,rat,Say 'rat' again,1,5,69,3,space,1.08487415314,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,54,duck,The word is 'duck',1,6,70,53,space,1.23464488983,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,55,muck,The word is 'muck',1,7,71,54,space,1.35308980942,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,14,mick,Say 'mick' again,1,8,72,13,space,0.986356019974,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,38,pack,The word is 'pack',1,9,73,37,space,1.0528588295,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,12,fit,Say 'fit' again,1,10,74,11,space,0.969213008881,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,13,kick,Say 'kick' again,1,11,75,12,space,0.902586221695,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,3,chat,Say 'chat' again,1,12,76,2,space,1.00388908386,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,46,mick,The word is 'mick',1,13,77,45,space,1.23580098152,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,2,fat,Say 'fat' again,1,14,78,1,space,1.06835603714,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,48,wick,The word is 'wick',1,15,79,47,space,1.03475403786,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,28,wrought,Say 'wrought' again,1,16,80,27,space,1.25078487396,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,17,cut,Say 'cut' again,1,17,81,16,space,1.1524951458,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,19,nut,Say 'nut' again,1,18,82,18,space,1.18656897545,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,64,cork,The word is 'cork',1,19,83,63,space,2.28617691994,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,21,luck,Say 'luck' again,1,20,84,20,space,0.952522993088,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,5,Jack,Say 'Jack' again,1,21,85,4,space,0.952461957932,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,61,talk,The word is 'talk',1,22,86,60,space,1.31769704819,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,9,writ,Say 'writ' again,1,23,87,8,space,1.00239706039,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,18,shut,Say 'shut' again,1,24,88,17,space,1.00283789635,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,25,sort,Say 'sort' again,1,25,89,24,space,1.10213494301,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,37,Jack,The word is 'Jack',1,26,90,36,space,1.15206599236,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,33,cat,The word is 'cat',1,27,91,32,space,1.03655314445,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,31,pork,Say 'pork' again,1,28,92,30,space,1.08534383774,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,59,port,The word is 'port',1,29,93,58,space,1.08530902863,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,36,rat,The word is 'rat',1,30,94,35,space,1.01982617378,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,6,pack,Say 'pack' again,1,31,95,5,space,0.935877084732,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,40,tack,The word is 'tack',1,32,96,39,space,1.30237007141,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,16,wick,Say 'wick' again,1,33,97,15,space,1.05105304718,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,32,cork,Say 'cork' again,1,34,98,31,space,1.1348991394,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,23,muck,Say 'muck' again,1,35,99,22,space,1.05262088776,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,49,cut,The word is 'cut',1,36,100,48,space,1.0687110424,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,41,writ,The word is 'writ',1,37,101,40,space,0.985156059265,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,50,shut,The word is 'shut',1,38,102,49,space,0.953374862671,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,42,lit,The word is 'lit',1,39,103,41,space,1.00296211243,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,57,sort,The word is 'sort',1,40,104,56,space,1.18500685692,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,20,gut,Say 'gut' again,1,41,105,19,space,0.98625087738,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,26,short,Say 'short' again,1,42,106,25,space,1.0351369381,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,60,wrought,The word is 'wrought',1,43,107,59,space,1.18562912941,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,11,kit,Say 'kit' again,1,44,108,10,space,1.13679099083,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,52,gut,The word is 'gut',1,45,109,51,space,0.918051958084,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,39,Mac,The word is 'Mac',1,46,110,38,space,1.00178313255,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,53,luck,The word is 'luck',1,47,111,52,space,0.953649044037,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,58,short,The word is 'short',1,48,112,57,space,0.952502012253,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,10,lit,Say 'lit' again,1,49,113,9,space,1.10325598717,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,7,Mac,Say 'Mac' again,1,50,114,6,space,0.800981044769,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,30,walk,Say 'walk' again,1,51,115,29,space,1.0357170105,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,63,pork,The word is 'pork',1,52,116,62,space,1.18655180931,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,8,tack,Say 'tack' again,1,53,117,7,space,1.21982693672,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,15,chick,Say 'chick' again,1,54,118,14,space,0.818428993225,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,45,kick,The word is 'kick',1,55,119,44,space,0.935217142105,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,44,fit,The word is 'fit',1,56,120,43,space,1.11998391151,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,62,walk,The word is 'walk',1,57,121,61,space,1.18720412254,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,27,port,Say 'port' again,1,58,122,26,space,1.08566498756,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,56,tuck,The word is 'tuck',1,59,123,55,space,1.13540387154,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,35,chat,The word is 'chat',1,60,124,34,space,0.852787017822,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,29,talk,Say 'talk' again,1,61,125,28,space,0.936274051666,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,22,duck,Say 'duck' again,1,62,126,21,space,1.20273303986,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,47,chick,The word is 'chick',1,63,127,46,space,1.00236797333,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,34,fat,The word is 'fat',2,0,128,33,space,1.03500294685,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,31,pork,Say 'pork' again,2,1,129,30,space,0.786831140518,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,45,kick,The word is 'kick',2,2,130,44,space,0.835875988007,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,44,fit,The word is 'fit',2,3,131,43,space,1.06875705719,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,3,chat,Say 'chat' again,2,4,132,2,space,0.952607870102,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,30,walk,Say 'walk' again,2,5,133,29,space,1.05275988579,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,40,tack,The word is 'tack',2,6,134,39,space,0.86754989624,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
