Spelling,FreqCount,Cbeebies_freq,CBBC_freq,BNC_freq,LogFreq(Zipf),LogFreqCbeebies(Zipf),LogFreqCBBC(Zipf),LogFreqBNC(Zipf),CD_count,CD_count_Cbeebies,CD_count_CBBC,CD,CD_cbeebies,CD_cbbc,DomPoS,DomPoSLemma,DomPoSFreq,DomPoSLemmaTotalFreq,AllPoS,AllPoSFreq,CapitFreq,Spell_check,Hyphen,Homophonic_entry,Double_word_entry,Freq_double_entry,ipa,cv
kip,1097,767,38,80,3.74,5.12,3.46,2.91,304,42,37,0.007,0.009,0.008,name,kip,787,787,.name.noun.verb.unclassified.,.787.245.61.4.,846,UKUS,0,NA,NA,NA,kɪp,CVC
nip,1096,33,95,287,3.74,3.76,3.85,3.46,986,26,90,0.022,0.005,0.019,verb,nip,677,1177,.verb.noun.name.adjective.adverb.,.677.343.52.22.2.,63,UKUS,0,NA,NA,NA,nɪp,CVC
zip,878,91,147,374,3.64,4.19,4.03,3.57,608,43,116,0.013,0.009,0.024,noun,zip,656,702,.noun.verb.name.,.656.168.54.,227,UKUS,0,NA,NA,NA,zɪp,CVC
mop,584,64,85,277,3.46,4.04,3.8,3.44,436,22,69,0.01,0.005,0.014,verb,mop,568,808,.verb.name.,.568.16.,37,UKUS,0,NA,NA,NA,mɒp,CVC
rep,546,1,28,248,3.43,2.53,3.33,3.39,339,1,14,0.008,0,0.003,noun,rep,442,554,.noun.name.verb.adjective.preposition.unclassified.,.442.53.39.9.2.1.,44,UKUS,0,NA,NA,NA,rep,CVC
sap,509,164,40,307,3.4,4.45,3.48,3.49,278,21,22,0.006,0.004,0.005,verb,sap,476,612,.verb.name.noun.,.476.31.2.,61,UKUS,0,NA,NA,NA,sæp,CVC
weep,503,8,47,378,3.4,3.19,3.55,3.58,384,7,37,0.009,0.001,0.008,noun,weep,487,496,.noun.name.verb.,.487.10.6.,34,UKUS,0,NA,NA,NA,wip,CVC
sip,432,22,32,387,3.33,3.59,3.38,3.59,372,15,29,0.008,0.003,0.006,noun,sip,312,355,.noun.verb.name.adverb.,.312.107.11.2.,27,UKUS,0,NA,NA,NA,sɪp,CVC
burp,412,162,148,32,3.31,4.44,4.04,2.52,230,67,84,0.005,0.014,0.017,noun,burp,220,272,.noun.verb.name.adjective.,.220.100.90.2.,193,UKUS,0,NA,NA,NA,bɜːp,CVC
reap,344,1,8,271,3.23,2.53,2.82,3.43,311,1,8,0.007,0,0.002,verb,reap,336,591,.verb.name.,.336.8.,12,UKUS,0,NA,NA,NA,rip,CVC
poop,325,17,142,39,3.21,3.49,4.02,2.6,194,9,78,0.004,0.002,0.016,noun,poop,253,262,.noun.verb.name.adjective.,.253.37.32.3.,33,UKUS,0,NA,NA,NA,pup,CVC
warp,313,1,22,251,3.19,2.53,3.23,3.4,202,1,16,0.004,0,0.003,noun,warp,202,209,.noun.name.verb.adjective.,.202.75.35.1.,76,UKUS,0,NA,NA,NA,wɔp,CVC
jeep,295,10,41,444,3.17,3.27,3.49,3.65,175,4,23,0.004,0.001,0.005,noun,jeep,224,269,.noun.name.verb.,.224.70.1.,142,UKUS,0,NA,NA,NA,dʒip,CVC
pep,294,2,48,213,3.17,2.71,3.55,3.33,271,2,40,0.006,0,0.008,noun,pep,255,286,.noun.name.verb.,.255.37.2.,59,UKUS,0,NA,NA,NA,pep,CVC
zap,194,36,91,51,2.99,3.8,3.83,2.71,135,20,58,0.003,0.004,0.012,verb,zap,77,203,.verb.noun.name.unclassified.,.77.77.39.1.,59,UKUS,0,NA,NA,NA,zæp,CVC
pap,116,1,5,102,2.76,2.53,2.64,3.01,80,1,4,0.002,0,0.001,noun,pap,104,146,.noun.name.,.104.12.,28,UKUS,0,NA,NA,NA,pæp,CVC
lop,92,5,5,31,2.66,3.01,2.64,2.5,80,5,5,0.002,0.001,0.001,noun,lop,48,62,.noun.verb.name.adjective.unclassified.,.48.19.17.7.1.,17,UKUS,0,NA,NA,NA,lɒp,CVC
chirp,83,35,7,19,2.62,3.79,2.77,2.3,43,11,6,0.001,0.002,0.001,noun,chirp,36,56,.noun.name.verb.,.36.25.22.,27,UKUS,0,NA,NA,NA,tʃɜːp,CVC
sop,70,0,1,47,2.55,2.23,2.17,2.68,66,0,1,0.001,0,0,noun,sop,51,53,.noun.verb.adjective.name.,.51.13.4.2.,3,UKUS,0,NA,NA,NA,sɒp,CVC
gawp,48,0,3,12,2.39,2.23,2.47,2.11,47,0,3,0.001,0,0.001,verb,gawp,34,120,.verb.noun.,.34.14.,0,UKUS,0,NA,NA,NA,gɔp,CVC
fop,22,0,0,33,2.06,2.23,1.86,2.53,21,0,0,0,0,0,noun,fop,16,23,.noun.name.adjective.,.16.4.2.,4,UKUS,0,NA,NA,NA,fɒp,CVC
thorp,22,0,0,134,2.06,2.23,1.86,3.13,15,0,0,0,0,0,name,thorp,22,22,.name.,.22.,22,UKUS,0,NA,NA,NA,θɔp,CVC
neap,18,1,1,14,1.97,2.53,2.17,2.17,12,1,1,0,0,0,noun,neap,12,13,.noun.name.adjective.verb.,.12.4.1.1.,4,UKUS,0,NA,NA,NA,nip,CVC
thorpe,356,0,4,335,3.25,2.23,2.56,3.52,189,0,3,0.004,0,0.001,name,thorpe,347,347,.name.verb.noun.adverb.,.347.6.2.1.,354,X,0,NA,NA,NA,θɔp,CVC
corp,332,0,3,5124,3.22,2.23,2.47,4.71,165,0,3,0.004,0,0.001,name,corp,312,312,.name.noun.adjective.,.312.19.1.,312,X,0,NA,NA,NA,kɔp,CVC
tup,71,0,4,7,2.55,2.23,2.56,1.9,39,0,3,0.001,0,0.001,noun,tup,65,121,.noun.verb.name.,.65.3.3.,3,X,0,NA,NA,NA,tʌp,CVC
dep,38,0,4,20,2.29,2.23,2.56,2.32,33,0,1,0.001,0,0,noun,dep,26,27,.noun.name.adjective.adverb.,.26.10.1.1.,11,X,0,NA,NA,NA,dep,CVC
jupe,16,0,1,6,1.93,2.23,2.17,1.84,6,0,1,0,0,0,name,jupe,12,12,.name.noun.,.12.4.,12,X,0,NA,NA,NA,ʒup,CVC
knop,11,0,0,1,1.77,2.23,1.86,1.3,11,0,0,0,0,0,noun,knop,10,11,.noun.name.,.10.1.,1,X,0,NA,NA,NA,nɒp,CVC
repp,2,0,0,5,1.17,2.23,1.86,1.78,2,0,0,0,0,0,name,repp,2,2,.name.,.2.,2,X,0,NA,NA,NA,rep,CVC
