speaker,index,word,position,proportion,maximum,minimum
m01,1,mac,medial,0.0646942222947076,0.2805990063978533,0.7099821292658773
m01,1,mac,medial,0.1559078457108724,0.25834179525739426,0.7329668374326892
m01,1,mac,medial,0.24560135765486135,0.24302538119810962,0.7183835277266587
m01,1,mac,medial,0.33382846192450355,0.2479603743343993,0.7001893120485364
m01,1,mac,medial,0.42135842633624104,0.24775623867271798,0.7144885486114279
m01,1,mac,medial,0.5086551398792304,0.25544072789225114,0.7388492269537437
m01,1,mac,medial,0.5954082079140302,0.2591604913072706,0.7269141373168203
m01,1,mac,medial,0.68226452733065,0.26898600718076227,0.7584660369655968
m01,1,mac,medial,0.7714688001285376,0.3074795623219752,0.7769663681790305
m01,2,wick,final,0.08943527512345655,0.29073044376868323,0.7745206418246164
m01,2,wick,final,0.16535354332731594,0.2865556000782914,0.759304882876959
m01,2,wick,final,0.24253776698013257,0.2784351002402257,0.7757833075149619
m01,2,wick,final,0.31984030166103605,0.2649462685035325,0.6901844608616046
m01,2,wick,final,0.3989171316248929,0.2496717727081722,0.7036841283780312
m01,2,wick,final,0.4780807877947716,0.21227802407179697,0.6865434399110562
m01,2,wick,final,0.5569454680255569,0.19488524967794754,0.6294891069361308
m01,2,wick,final,0.6362874472031438,0.22123241493344623,0.6520549810056603
m01,2,wick,final,0.7123683679611607,0.253387415733111,0.6883465713958224
m01,2,wick,final,0.7904798292669987,0.249280898002541,0.7220422359051673
m01,3,rat,medial,0.08913755060313004,0.2450025587094467,0.7032244338743091
m01,3,rat,medial,0.15059341074649846,0.2440700285381537,0.6968256449778589
m01,3,rat,medial,0.21252589802105243,0.2473150012331774,0.7013536835200818
m01,3,rat,medial,0.27508425454145463,0.23128726589181142,0.6940155082059494
m01,3,rat,medial,0.33809711414920984,0.22306958417133907,0.6742078766571479
m01,3,rat,medial,0.40146914167587494,0.22824347693175553,0.7098860119574141
m01,3,rat,medial,0.46476510465818893,0.21187718906332648,0.6752561846806294
m01,3,rat,medial,0.527967128035285,0.19033840281562217,0.6903034176192693
m01,3,rat,medial,0.5896892472302525,0.1865116154884562,0.7316122341236382
m01,3,rat,medial,0.6485209409346652,0.20852600851729033,0.7701472012962111
m01,3,rat,medial,0.7076101770111419,0.26243951290356893,0.765340997946696
m01,3,rat,medial,0.7647033060889322,0.28675580580011906,0.6651799196533854
m01,4,sort,medial,0.03246543885739075,0.30996729460631595,0.8007040152539733
m01,4,sort,medial,0.07451160128966308,0.26790478882588736,0.7220891959140567
m01,4,sort,medial,0.11840374204233833,0.2418964520497246,0.754442196445794
m01,4,sort,medial,0.15959132493133185,0.24530517220514958,0.6528235201293506
m01,4,sort,medial,0.20577060246296358,0.19719060637404628,0.6634270491987059
m01,4,sort,medial,0.24868124470979916,0.213751971600202,0.6697501094402196
m01,4,sort,medial,0.2925848366730523,0.2381669714848421,0.6806288208742282
m01,4,sort,medial,0.3366534338694128,0.24415056774070998,0.7024007052456737
m01,4,sort,medial,0.38129601206084074,0.23364672214858936,0.6692995783417667
m01,4,sort,medial,0.4263177410018244,0.2525254607343206,0.6804103776944879
m01,4,sort,medial,0.47182630763189193,0.24924086917970156,0.6606181697964156
m01,4,sort,medial,0.516902543048297,0.2563853940910668,0.6659090099896177
m01,4,sort,medial,0.5625736654429699,0.24101499856336991,0.6646132578850384
m01,4,sort,medial,0.6086732704031562,0.2305225244413387,0.6626701847695758
m01,4,sort,medial,0.6545945354421638,0.21817703941409647,0.6526892831942174
m01,4,sort,medial,0.7003258055756266,0.2166516902598351,0.6620727444213729
m01,4,sort,medial,0.7460691454828021,0.20392241000522876,0.657280936219539
m01,4,sort,medial,0.7916763028734481,0.2358849869513992,0.698391238365617
m01,4,sort,medial,0.8357564319374189,0.2389897292259844,0.7273906000967174
m01,4,sort,medial,0.8803520987103762,0.23506150056950595,0.6578967840949826
m01,4,sort,medial,0.9258054576151893,0.13219765326027166,0.8120601949213972
m01,5,wrought,final,0.01687653266381772,0.3562373832129509,0.7699526986594929
m01,5,wrought,final,0.04534872171580695,0.3447203540855223,0.7954055651090456
m01,5,wrought,final,0.07366119318278701,0.31570852786658204,0.7771492178408529
m01,5,wrought,final,0.10193926602419223,0.3106292846422161,0.7934744461140989
m01,5,wrought,final,0.13013608609867164,0.30220728282630366,0.7317248618017053
m01,5,wrought,final,0.15833593950909505,0.2953560967895805,0.7789586927841926
m01,5,wrought,final,0.18669726113311458,0.281574163708799,0.7211883192537155
m01,5,wrought,final,0.21518413650612975,0.2581918809805781,0.6780287258612658
m01,5,wrought,final,0.24366243621516034,0.2353514924104622,0.6465356856976993
m01,5,wrought,final,0.2717323642998323,0.22976536162961758,0.6553248162982601
m01,5,wrought,final,0.29959756533236376,0.2218693729920771,0.6576139963781366
m01,5,wrought,final,0.32768386639640434,0.2142430571606232,0.6831423056439228
m01,5,wrought,final,0.35552326753453106,0.23071998295602966,0.6793230342120806
m01,5,wrought,final,0.3838655473896673,0.2364919783998961,0.7389525896390275
m01,5,wrought,final,0.4115284944240582,0.2666321626115592,0.7414178573440148
m01,5,wrought,final,0.44037026229471077,0.2754522604209978,0.7346849810760478
m01,5,wrought,final,0.4699294429457788,0.24128474739735165,0.7678151449545428
m01,5,wrought,final,0.49700548736779654,0.3008514064449879,0.7299006389108696
m01,5,wrought,final,0.5241666627016631,0.18232127713990257,0.5741438340449325
m01,5,wrought,final,0.6572030837132429,1.558786439890814,-36.00706387232962
m01,5,wrought,final,0.7092858788654378,0.5858531331795079,0.7568099006385752
m01,6,kick,medial,0.10849095085696425,0.28625124529544066,0.7651509067707337
m01,6,kick,medial,0.23666307298848405,0.24928289130901227,0.6997594912616985
m01,6,kick,medial,0.3681506888580715,0.2031018494152366,0.6550910829682496
m01,6,kick,medial,0.493850261980979,0.20428350743103016,0.6486479162223239
m01,6,kick,medial,0.6185414942474532,0.22943928962027144,0.6968714326401215
m01,6,kick,medial,0.7358843465336112,0.32347380892863015,0.7967672626265914
m01,7,pack,final,0.08228032766734018,0.24371052846654967,0.7056379875939404
m01,7,pack,final,0.1525635410953092,0.1827282850933615,0.6667196800423314
m01,7,pack,final,0.21777396052477105,0.16491040650107988,0.6845517738639699
m01,7,pack,final,0.28212061323331844,0.18146424179843385,0.7011347058267695
m01,7,pack,final,0.3465594971372307,0.23507971835779382,0.7104135585589972
m01,7,pack,final,0.4129203938658221,0.24102080856290148,0.7047494312123144
m01,7,pack,final,0.4809936372582132,0.24603775125581012,0.738608701993673
m01,7,pack,final,0.5475839435899927,0.2836218464167498,0.6856769331041919
m01,7,pack,final,0.6166165414702677,0.32140554302892343,0.6503748504709138
m01,7,pack,final,0.6861043395264192,0.264040870602442,0.6805158722558446
m01,7,pack,final,0.7526532143479306,0.31987042172559343,0.6332291133200381
m01,7,pack,final,0.817755544119862,0.3192865970904769,0.6328703539132065
m01,8,luck,final,0.10656839480700722,0.28262791325554437,0.6971647719864741
m01,8,luck,final,0.21230716688266063,0.27003718522716286,0.6580044126781303
m01,8,luck,final,0.31855973158903056,0.2555736980605442,0.6498735622659216
m01,8,luck,final,0.4228906519020959,0.23448896839134536,0.6384745943723453
m01,8,luck,final,0.5253487961275227,0.22603040952026923,0.6454482150660366
m01,8,luck,final,0.6234804140279365,0.2704091003631618,0.6626807913057081
m01,8,luck,final,0.7228479976332683,0.2789130637073159,0.653905436103888
m01,9,chick,medial,0.11705891822659313,0.31833959313781485,0.7718773470282698
m01,9,chick,medial,0.28381998339174125,0.310063546125803,0.7707018052975986
m01,9,chick,medial,0.45166183786814157,0.3095789555175298,0.7587594616501397
m01,9,chick,medial,0.6203020035276886,0.3300238195754196,0.7580759360121497
m01,10,writ,medial,0.13369866838825875,0.17637098208710725,0.6281184779296917
m01,10,writ,medial,0.25572914420098386,0.16742552720320494,0.6352833680700858
m01,10,writ,medial,0.3765350518729834,0.17175972814084528,0.6540252830858366
m01,10,writ,medial,0.4981001965844102,0.1482388201784296,0.6567583502563005
m01,10,writ,medial,0.6159691866834721,0.17674756258425858,0.6623455991721783
m01,10,writ,medial,0.7360349815955955,0.1954343523927293,0.7243110028223055
m01,11,duck,final,0.09033674973468893,0.2483725851334486,0.7200512546384438
m01,11,duck,final,0.17241157875767793,0.19274879150657798,0.6730591987038055
m01,11,duck,final,0.24996289351974119,0.22945221997741433,0.6831246576313246
m01,11,duck,final,0.33016463504255483,0.22060813462743759,0.6909076756256354
m01,11,duck,final,0.4118009280492334,0.22343468620157206,0.6917639569654359
m01,11,duck,final,0.4940520042124429,0.20789724864272574,0.6781043091364286
m01,11,duck,final,0.5767710104428105,0.21769330351144223,0.6761757365477001
m01,11,duck,final,0.6608907570365421,0.23474745075964423,0.669064853728262
m01,11,duck,final,0.7430464471231538,0.21357899714257492,0.7064262229195978
m01,11,duck,final,0.8195435905542093,0.25599976128308394,0.6672583613564194
m01,11,duck,final,0.8971494008189805,0.24165120902395754,0.6032839018696218
m01,12,wick,medial,0.16013505325769195,0.18970456938721472,0.6947464681135048
m01,12,wick,medial,0.2785070091394482,0.19244320424310932,0.7080038782054018
m01,12,wick,medial,0.39640339155366155,0.19610692100280208,0.6945788247574374
m01,12,wick,medial,0.5164257618372385,0.20375940098702305,0.6836119424015731
m01,12,wick,medial,0.6324521742541944,0.24143923984022556,0.7079273101627642
m01,12,wick,medial,0.7518815656774265,0.26633028951527804,0.7339039041558184
m01,13,chick,final,0.07216985603893863,0.3306594753716314,0.8452358394884947
m01,13,chick,final,0.14055378162564805,0.2611228707657047,0.7608845436067504
m01,13,chick,final,0.21304540378462075,0.22090088763493698,0.7279035394569269
m01,13,chick,final,0.28540127675407584,0.18828911318705693,0.6729966722751397
m01,13,chick,final,0.35333697289438515,0.22212315570897787,0.7043564432446757
m01,13,chick,final,0.42546283663327017,0.21664070803850646,0.7311540012961206
m01,13,chick,final,0.4960207485911591,0.23709854781646725,0.7697925360433125
m01,13,chick,final,0.5683114644082177,0.25474404589106414,0.797688017418612
m01,13,chick,final,0.6409427494318835,0.2970019273832472,0.7871957454398116
m01,13,chick,final,0.7123164057853935,0.22458366137921912,0.5603941341343261
m01,14,mick,medial,0.08673203196930307,0.2988407346844535,0.773458222995342
m01,14,mick,medial,0.23946834836605377,0.310738869922759,0.7716510561135139
m01,14,mick,medial,0.39851188082396677,0.30248717355873567,0.7780364349836684
m01,14,mick,medial,0.5503780315060259,0.31029552697097806,0.7825781758534993
m01,14,mick,medial,0.70712832929817,0.3436225195315303,0.8192381557789228
m01,15,kick,final,0.08175602990581918,0.30825573619813473,0.7372756845391374
m01,15,kick,final,0.15874858459287816,0.2346643605155365,0.695674146113307
m01,15,kick,final,0.23016017192688148,0.2164256792352721,0.6572217276068524
m01,15,kick,final,0.3039376774996804,0.2072080075684918,0.6660435283376154
m01,15,kick,final,0.37517341287178824,0.24421428849330973,0.7065894940997046
m01,15,kick,final,0.4462438855396046,0.26949199852155176,0.7411277359124268
m01,15,kick,final,0.5196927573339155,0.30606758926482397,0.7076831143130099
m01,16,writ,final,0.08994008803913327,0.28708625962492584,0.7361345577737206
m01,16,writ,final,0.15684427391979502,0.2679660919337412,0.7332036554677255
