position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
final,55,muck,The word is 'muck',0,0,0,54,space,2.27043604851,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,31,pork,Say 'pork' again,0,1,1,30,space,1.60320305824,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,39,Mac,The word is 'Mac',0,2,2,38,space,1.25246787071,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,14,mick,Say 'mick' again,0,3,3,13,space,1.40301585197,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,46,mick,The word is 'mick',0,4,4,45,space,1.51863098145,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,13,kick,Say 'kick' again,0,5,5,12,space,1.56906890869,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,63,pork,The word is 'pork',0,6,6,62,space,1.70195388794,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,64,cork,The word is 'cork',0,7,7,63,space,1.98628807068,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,20,gut,Say 'gut' again,0,8,8,19,space,1.51952195168,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,26,short,Say 'short' again,0,9,9,25,space,1.55268883705,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,28,wrought,Say 'wrought' again,0,10,10,27,space,1.78555297852,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,53,luck,The word is 'luck',0,11,11,52,space,1.45186781883,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,23,muck,Say 'muck' again,0,12,12,22,space,1.91924786568,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,42,lit,The word is 'lit',0,13,13,41,space,1.81913304329,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,5,Jack,Say 'Jack' again,0,14,14,4,space,1.76954889297,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,45,kick,The word is 'kick',0,15,15,44,space,1.5862121582,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,18,shut,Say 'shut' again,0,16,16,17,space,1.90212607384,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,58,short,The word is 'short',0,17,17,57,space,1.90351200104,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,29,talk,Say 'talk' again,0,18,18,28,space,2.12031817436,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,3,chat,Say 'chat' again,0,19,19,2,space,1.45113897324,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,24,tuck,Say 'tuck' again,0,20,20,23,space,1.61883997917,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,12,fit,Say 'fit' again,0,21,21,11,space,1.98636317253,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,41,writ,The word is 'writ',0,22,22,40,space,1.65197491646,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,2,fat,Say 'fat' again,0,23,23,1,space,1.71872997284,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,61,talk,The word is 'talk',0,24,24,60,space,1.81842303276,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,33,cat,The word is 'cat',0,25,25,32,space,1.61768984795,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,6,pack,Say 'pack' again,0,26,26,5,space,1.88678002357,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,10,lit,Say 'lit' again,0,27,27,9,space,1.85323309898,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,49,cut,The word is 'cut',0,28,28,48,space,1.63632583618,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,4,rat,Say 'rat' again,0,29,29,3,space,1.48638916016,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,57,sort,The word is 'sort',0,30,30,56,space,1.75244808197,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,62,walk,The word is 'walk',0,31,31,61,space,1.8023378849,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,19,nut,Say 'nut' again,0,32,32,18,space,1.56956005096,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,27,port,Say 'port' again,0,33,33,26,space,1.63484811783,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,43,kit,The word is 'kit',0,34,34,42,space,1.70393610001,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,56,tuck,The word is 'tuck',0,35,35,55,space,1.75267195702,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,35,chat,The word is 'chat',0,36,36,34,space,1.87005114555,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,34,fat,The word is 'fat',0,37,37,33,space,1.95293092728,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,21,luck,Say 'luck' again,0,38,38,20,space,1.76836299896,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,11,kit,Say 'kit' again,0,39,39,10,space,1.40336585045,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,17,cut,Say 'cut' again,0,40,40,16,space,1.95302200317,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,40,tack,The word is 'tack',0,41,41,39,space,1.85221099854,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,25,sort,Say 'sort' again,0,42,42,24,space,1.78680586815,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,22,duck,Say 'duck' again,0,43,43,21,space,1.75284600258,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,48,wick,The word is 'wick',0,44,44,47,space,1.63561701775,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,8,tack,Say 'tack' again,0,45,45,7,space,1.75230503082,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,44,fit,The word is 'fit',0,46,46,43,space,1.53603005409,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,36,rat,The word is 'rat',0,47,47,35,space,1.45314216614,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,7,Mac,Say 'Mac' again,0,48,48,6,space,2.01959300041,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,47,chick,The word is 'chick',0,49,49,46,space,1.70293593407,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,51,nut,The word is 'nut',0,50,50,50,space,1.71715116501,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
final,60,wrought,The word is 'wrought',0,51,51,59,space,1.78647708893,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
medial,15,chick,Say 'chick' again,0,52,52,14,space,2.25240111351,25,60.4080198292,m,glottal_pilot,2017_Nov_29_1427,m02,
