position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
final,43,kit,The word is 'kit',0,45,45,42,space,3.15287613869,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,57,sort,The word is 'sort',0,46,46,56,space,2.08598804474,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,35,chat,The word is 'chat',0,47,47,34,space,2.01980495453,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,17,cut,Say 'cut' again,0,48,48,16,space,1.48715209961,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,19,nut,Say 'nut' again,0,49,49,18,space,1.26996588707,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,46,mick,The word is 'mick',0,50,50,45,space,2.3186788559,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,59,port,The word is 'port',0,51,51,58,space,1.68574905396,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,61,talk,The word is 'talk',0,52,52,60,space,2.00271391869,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,20,gut,Say 'gut' again,0,53,53,19,space,1.3351559639,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,40,tack,The word is 'tack',0,54,54,39,space,1.88600587845,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,21,luck,Say 'luck' again,0,55,55,20,space,1.55229997635,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,24,tuck,Say 'tuck' again,0,56,56,23,space,1.41924405098,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,26,short,Say 'short' again,0,57,57,25,space,1.65329194069,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,39,Mac,The word is 'Mac',0,58,58,38,space,2.36952209473,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,1,cat,Say 'cat' again,0,59,59,0,space,1.63542699814,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,63,pork,The word is 'pork',0,60,60,62,space,2.25225400925,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,3,chat,Say 'chat' again,0,61,61,2,space,1.75305509567,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,49,cut,The word is 'cut',0,62,62,48,space,1.90301394463,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,58,short,The word is 'short',0,63,63,57,space,2.45289301872,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,60,wrought,The word is 'wrought',1,0,64,59,space,2.15121507645,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,21,luck,Say 'luck' again,1,1,65,20,space,1.28515005112,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,22,duck,Say 'duck' again,1,2,66,21,space,1.13573908806,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,27,port,Say 'port' again,1,3,67,26,space,2.20365595818,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,34,fat,The word is 'fat',1,4,68,33,space,1.85303592682,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,13,kick,Say 'kick' again,1,5,69,12,space,1.15322899818,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,35,chat,The word is 'chat',1,6,70,34,space,2.76984000206,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,15,chick,Say 'chick' again,1,7,71,14,space,1.53706002235,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,40,tack,The word is 'tack',1,8,72,39,space,2.0859811306,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,24,tuck,Say 'tuck' again,1,9,73,23,space,1.2689781189,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,18,shut,Say 'shut' again,1,10,74,17,space,1.90226602554,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,63,pork,The word is 'pork',1,11,75,62,space,2.00310611725,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,51,nut,The word is 'nut',1,12,76,50,space,1.61694407463,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,49,cut,The word is 'cut',1,13,77,48,space,1.78624081612,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,3,chat,Say 'chat' again,1,14,78,2,space,1.38556194305,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,52,gut,The word is 'gut',1,15,79,51,space,1.78569507599,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,8,tack,Say 'tack' again,1,16,80,7,space,1.47078299522,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,28,wrought,Say 'wrought' again,1,17,81,27,space,1.30058407784,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,45,kick,The word is 'kick',1,18,82,44,space,1.90355420113,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,36,rat,The word is 'rat',1,19,83,35,space,2.00170207024,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,42,lit,The word is 'lit',1,20,84,41,space,1.92049193382,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,50,shut,The word is 'shut',1,21,85,49,space,1.97022390366,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,5,Jack,Say 'Jack' again,1,22,86,4,space,1.30187106133,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,56,tuck,The word is 'tuck',1,23,87,55,space,2.70313596725,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,54,duck,The word is 'duck',1,24,88,53,space,1.7194070816,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,4,rat,Say 'rat' again,1,25,89,3,space,1.90331602097,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,16,wick,Say 'wick' again,1,26,90,15,space,1.85336685181,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,59,port,The word is 'port',1,27,91,58,space,1.95216202736,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,64,cork,The word is 'cork',1,28,92,63,space,2.1534678936,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,53,luck,The word is 'luck',1,29,93,52,space,2.01957607269,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,43,kit,The word is 'kit',1,30,94,42,space,1.68627786636,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,58,short,The word is 'short',1,31,95,57,space,2.12014389038,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,19,nut,Say 'nut' again,1,32,96,18,space,1.68620896339,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
